Treatment_ID,Finding_Type,Recommended_Product,Treatment_Level,Savings_Rate_Low_Pct,Savings_Rate_High_Pct,Implementation_Timeline,Prerequisites,Applicable_Towers,Priority_Level,Description,Condition_Metric,Condition_Operator,Condition_Value
TREAT-001,RATE_ABOVE_BENCHMARK,SOURCING_ACCELERATOR,TREATMENT,8.0,15.0,3-6 months,Current rate benchmarks available,ALL,HIGH,Negotiate rates down to market benchmarks through competitive sourcing process,rate_vs_benchmark_pct,>,P75
TREAT-002,RATE_ABOVE_BENCHMARK,SOURCING_ACCELERATOR,GRANULAR,10.0,20.0,4-8 months,Service-type-level rate data + AHT available,ALL,HIGH,Granular rate comparison at service-type level enabling precision negotiation,rate_vs_benchmark_pct,>,P75
TREAT-003,CONTRACT_EXPIRING,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,1-3 months,Contract inventory completed,ALL,CRITICAL,Optimize contract terms before renewal — leverage expiry as negotiation event,contract_months_remaining,<,6
TREAT-004,NON_PO_SPEND,MIMO,TREATMENT,2.0,3.0,2-4 months,PO system access and compliance framework,ALL,HIGH,Implement PO compliance and invoice matching to eliminate rogue spend,non_po_spend_pct,>,30
TREAT-005,VENDOR_CONCENTRATION,SOURCING_ACCELERATOR,TREATMENT,8.0,15.0,6-12 months,Alternative vendor identification completed,ALL,HIGH,Introduce competitive alternatives to reduce single-vendor dependency,vendor_spend_pct,>,40
TREAT-006,ROGUE_SPEND,MIMO,TREATMENT,2.0,3.0,1-3 months,Spend classification completed,ALL,HIGH,Identify and redirect maverick spend through approved channels,unclassified_spend_pct,>,20
TREAT-007,SLA_UNDERPERFORMANCE,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,2-4 months,SLA baseline and measurement in place,ALL,MEDIUM,Enforce SLA penalties and restructure performance incentives,sla_miss_rate_pct,>,10
TREAT-008,COMPLIANCE_GAP,ASSESSMENT,TREATMENT,1.0,2.0,1-2 months,Risk assessment completed,ALL,MEDIUM,Address compliance gaps through governance framework implementation,compliance_score,<,80
TREAT-009,VOLUME_OPPORTUNITY,SOURCING_ACCELERATOR,TREATMENT,5.0,10.0,3-6 months,Volume aggregation analysis completed,ALL,MEDIUM,Consolidate volumes across business units for better pricing leverage,annual_spend_amount,>,1000000
TREAT-010,CONSOLIDATION_OPPORTUNITY,SOURCING_ACCELERATOR,TREATMENT,8.0,15.0,6-12 months,Vendor landscape analysis completed,ALL,MEDIUM,Reduce vendor count through strategic consolidation to preferred providers,vendor_count,>,5
TREAT-011,RATE_ABOVE_BENCHMARK,MAXXBOT,HYBRID,5.0,12.0,Ongoing,MaxxBot rate database populated for tower,ALL,MEDIUM,Continuous rate intelligence via MaxxBot for procurement team decision support,rate_vs_benchmark_pct,>,P75
TREAT-012,VENDOR_CONCENTRATION,ASSESSMENT,TREATMENT,1.0,2.0,1-2 months,Baseline assessment completed,ALL,MEDIUM,Risk assessment and mitigation planning for concentrated vendor relationships,vendor_spend_pct,>,40
TREAT-013,CONTRACT_EXPIRING,SOURCING_ACCELERATOR,TREATMENT,8.0,15.0,3-6 months,Market alternatives identified pre-expiry,ALL,HIGH,Use contract expiry as trigger for competitive rebid process,contract_months_remaining,<,6
TREAT-014,NON_PO_SPEND,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,2-4 months,Contract framework established,ALL,MEDIUM,Bring non-PO spend under contract coverage,non_po_spend_pct,>,30
TREAT-015,RATE_ABOVE_BENCHMARK,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,2-3 months,Rate benchmarks available for contract language,ALL,MEDIUM,Insert rate benchmarking clauses and escalation caps into contracts,rate_vs_benchmark_pct,>,P75
TREAT-016,SLA_UNDERPERFORMANCE,MIMO,TREATMENT,2.0,3.0,1-3 months,SLA monitoring tools available,ALL,MEDIUM,Implement continuous SLA monitoring and automated alerting,sla_miss_rate_pct,>,10
TREAT-017,COMPLIANCE_GAP,MIMO,TREATMENT,2.0,3.0,2-4 months,Compliance framework defined,ALL,MEDIUM,Automate compliance monitoring and exception reporting,compliance_score,<,80
TREAT-018,VOLUME_OPPORTUNITY,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,2-4 months,Volume tiers negotiated in contracts,ALL,MEDIUM,Implement volume-tier pricing in contracts with automatic step-downs,annual_spend_amount,>,1000000
TREAT-019,CONSOLIDATION_OPPORTUNITY,ASSESSMENT,TREATMENT,1.0,2.0,1-2 months,Full vendor landscape mapped,ALL,LOW,Assess and quantify consolidation opportunity before sourcing action,vendor_count,>,5
TREAT-020,ROGUE_SPEND,ASSESSMENT,TREATMENT,1.0,2.0,1-2 months,Spend visibility achieved,ALL,MEDIUM,Classify and quantify rogue spend as input to MIMO implementation,unclassified_spend_pct,>,20
TREAT-021,RATE_ABOVE_BENCHMARK,REFRESH,TREATMENT,5.0,10.0,Quarterly,Prior assessment completed >12 months ago,ALL,LOW,Periodic reassessment to capture market rate movements,rate_vs_benchmark_pct,>,P75
TREAT-022,VENDOR_CONCENTRATION,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,2-4 months,Dual-source strategy approved,ALL,MEDIUM,Restructure contracts to enable multi-vendor delivery and reduce lock-in,vendor_spend_pct,>,40
TREAT-023,CONTRACT_EXPIRING,MAXXBOT,HYBRID,3.0,8.0,Ongoing,Contract expiry alerts configured,ALL,LOW,MaxxBot proactive alerts on upcoming expirations with market intelligence,contract_months_remaining,<,6
TREAT-024,SLA_UNDERPERFORMANCE,SOURCING_ACCELERATOR,TREATMENT,8.0,15.0,6-12 months,SLA history documenting underperformance,ALL,MEDIUM,Use documented SLA failures as leverage for competitive rebid,sla_miss_rate_pct,>,10
TREAT-025,COMPLIANCE_GAP,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,2-4 months,Gap analysis completed,ALL,MEDIUM,Embed compliance requirements into contract terms and governance framework,compliance_score,<,80
TREAT-026,VOLUME_OPPORTUNITY,MAXXBOT,HYBRID,3.0,8.0,Ongoing,Volume data aggregated,ALL,LOW,MaxxBot identifies cross-BU volume opportunities during user interactions,annual_spend_amount,>,1000000
TREAT-027,CONSOLIDATION_OPPORTUNITY,CONTRACTING_OFFICE,TREATMENT,3.0,5.0,3-6 months,Vendor consolidation roadmap approved,ALL,MEDIUM,Migrate consolidated spend onto optimized contract vehicles,vendor_count,>,5
TREAT-028,RATE_ABOVE_BENCHMARK,ASSESSMENT,TREATMENT,1.0,2.0,1-2 months,,ALL,LOW,Initial assessment to quantify rate deviation and size opportunity,rate_vs_benchmark_pct,>,P75
TREAT-029,NON_PO_SPEND,ASSESSMENT,TREATMENT,1.0,2.0,1-2 months,,ALL,LOW,Classify and quantify non-PO spend as input to MIMO implementation,non_po_spend_pct,>,30
TREAT-030,GOVERNANCE_GAP,ASSESSMENT,TREATMENT,1.0,2.0,1-2 months,,ALL,MEDIUM,Assess governance maturity and recommend framework improvements,governance_maturity_score,<,80
